"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","5","1.7","0.9","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","6","2.4","1.0","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","21","3.2","1.9","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","40","5.0","5.1","4.0","0.0"
"5","2","","David Johnson","ARI","RB5","12","1","60","7.7","5.5","6.0","+1.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","5","34","8.6","2.4","7.0","+1.0"
"7","2","","Travis Kelce","KC","TE1","12","7","22","9.2","2.7","13.0","+6.0"
"8","2","","Davante Adams","GB","WR2","11","5","25","9.3","3.3","8.0","0.0"
"9","2","","Julio Jones","ATL","WR3","9","5","32","10.6","2.7","11.0","+2.0"
"10","2","","Michael Thomas","NO","WR4","9","7","34","12.4","3.7","9.0","-1.0"
"11","2","","James Conner","PIT","RB6","7","3","44","13.2","6.0","10.0","-1.0"
"12","2","","Le'Veon Bell","NYJ","RB7","4","2","44","13.4","7.7","5.0","-7.0"
"13","2","","Odell Beckham Jr.","CLE","WR5","7","7","39","13.7","3.9","12.0","-1.0"
"14","3","","JuJu Smith-Schuster","PIT","WR6","7","6","34","14.7","4.6","16.0","+2.0"
"15","3","","Joe Mixon","CIN","RB8","9","5","40","15.4","5.5","17.0","+2.0"
"16","3","","Dalvin Cook","MIN","RB9","12","5","44","17.9","7.7","19.0","+3.0"
"17","3","","Todd Gurley","LAR","RB10","9","1","59","19.7","10.7","14.0","-3.0"
"18","3","","Tyreek Hill","KC","WR7","12","7","212","19.8","10.3","15.0","-3.0"
"19","3","","Mike Evans","TB","WR8","7","7","33","20.2","4.6","21.0","+2.0"
"20","3","","Nick Chubb","CLE","RB11","7","6","71","20.3","10.0","20.0","0.0"
"21","3","","Antonio Brown","OAK","WR9","6","9","73","23.1","6.7","23.0","+2.0"
"22","4","","Keenan Allen","LAC","WR10","12","12","39","25.3","4.8","24.0","+2.0"
"23","4","","T.Y. Hilton","IND","WR11","6","12","36","26.1","4.5","26.0","+3.0"
"24","4","","George Kittle","SF","TE2","4","8","69","26.4","8.9","29.0","+5.0"
"25","4","","Zach Ertz","PHI","TE3","10","15","69","26.7","8.1","25.0","0.0"
"26","4","","Melvin Gordon","LAC","RB12","12","1","100","26.9","17.5","22.0","-4.0"
"27","4","","Adam Thielen","MIN","WR12","12","16","41","28.9","4.4","27.0","0.0"
"28","4","","Amari Cooper","DAL","WR13","8","13","55","29.4","5.0","32.0","+4.0"
"29","4","","Damien Williams","KC","RB13","12","4","130","29.6","12.7","28.0","-1.0"
"30","4","","Stefon Diggs","MIN","WR14","12","16","43","30.1","4.0","35.0","+5.0"
"31","4","","Julian Edelman","NE","WR15","10","15","82","34.2","7.6","39.0","+8.0"
"32","4","","Kerryon Johnson","DET","RB14","5","17","104","34.6","13.3","31.0","-1.0"
"33","4","","Brandin Cooks","LAR","WR16","9","20","74","34.8","3.1","40.0","+7.0"
"34","4","","Leonard Fournette","JAC","RB15","10","14","61","35.6","11.7","30.0","-4.0"
"35","4","","Robert Woods","LAR","WR17","9","25","73","35.8","6.2","41.0","+6.0"
"36","4","","Aaron Jones","GB","RB16","11","14","83","36.2","13.6","33.0","-3.0"
"37","5","","Devonta Freeman","ATL","RB17","9","11","119","36.9","11.4","34.0","-3.0"
"38","5","","Marlon Mack","IND","RB18","6","19","61","37.0","11.3","36.0","-2.0"
"39","5","","Patrick Mahomes","KC","QB1","12","1","56","39.3","5.5","18.0","-21.0"
"40","5","","Kenny Golladay","DET","WR18","5","30","97","40.1","7.9","42.0","+2.0"
"41","5","","Chris Godwin","TB","WR19","7","28","99","41.8","8.8","46.0","+5.0"
"42","5","","Cooper Kupp","LAR","WR20","9","29","82","46.3","11.1","47.0","+5.0"
"43","5","","Tyler Lockett","SEA","WR21","11","25","113","46.9","14.2","52.0","+9.0"
"44","5","","Josh Jacobs","OAK","RB19","6","4","332","50.7","24.8","37.0","-7.0"
"45","5","","Deshaun Watson","HOU","QB2","10","38","77","51.2","6.9","43.0","-2.0"
"46","5","","Alshon Jeffery","PHI","WR22","10","33","81","51.6","11.5","70.0","+24.0"
"47","5","","Tyler Boyd","CIN","WR23","9","33","96","52.7","13.0","56.0","+9.0"
"48","6","","Aaron Rodgers","GB","QB3","11","38","79","53.3","7.4","54.0","+6.0"
"49","6","","Derrick Henry","TEN","RB20","11","11","115","53.7","13.0","38.0","-11.0"
"50","6","","Andrew Luck","IND","QB4","6","38","91","54.2","10.2","49.0","-1.0"
"51","6","","D.J. Moore","CAR","WR24","7","34","122","54.5","14.2","60.0","+9.0"
"52","6","","Calvin Ridley","ATL","WR25","9","37","88","55.2","11.3","55.0","+3.0"
"53","6","","A.J. Green","CIN","WR26","9","10","128","56.7","23.1","45.0","-8.0"
"54","6","","Chris Carson","SEA","RB21","11","19","100","57.6","12.6","51.0","-3.0"
"55","6","","Allen Robinson","CHI","WR27","6","33","113","57.7","17.4","69.0","+14.0"
"56","6","","James White","NE","RB22","10","11","112","58.6","16.1","53.0","-3.0"
"57","6","","Mark Ingram","BAL","RB23","8","21","143","59.7","13.4","50.0","-7.0"
"58","6","","O.J. Howard","TB","TE4","7","22","94","60.2","10.8","59.0","+1.0"
"59","6","","Jarvis Landry","CLE","WR28","7","28","124","60.3","16.7","64.0","+5.0"
"60","6","","Evan Engram","NYG","TE5","11","22","121","62.7","15.3","57.0","-3.0"
"61","6","","Phillip Lindsay","DEN","RB24","10","14","118","63.3","14.0","48.0","-13.0"
"62","6","","Mike Williams","LAC","WR29","12","34","111","63.6","14.2","63.0","+1.0"
"63","6","","David Montgomery","CHI","RB25","6","4","272","63.9","23.3","62.0","-1.0"
"64","6","","Sony Michel","NE","RB26","10","11","101","64.6","14.3","44.0","-20.0"
"65","6","","Hunter Henry","LAC","TE6","12","22","94","65.0","10.5","65.0","0.0"
"66","6","","Kenyan Drake","MIA","RB27","5","17","126","67.2","17.4","66.0","0.0"
"67","6","","Baker Mayfield","CLE","QB5","7","38","125","67.5","13.7","61.0","-6.0"
"68","6","","Robby Anderson","NYJ","WR30","4","36","129","67.9","15.9","73.0","+5.0"
"69","6","","Tarik Cohen","CHI","RB28","6","36","126","68.9","15.7","58.0","-11.0"
"70","6","","Matt Ryan","ATL","QB6","9","38","125","70.7","17.4","72.0","+2.0"
"71","7","","Sammy Watkins","KC","WR31","12","35","151","73.7","17.5","81.0","+10.0"
"72","7","","Corey Davis","TEN","WR32","11","32","137","74.3","17.7","83.0","+11.0"
"73","7","","Lamar Miller","HOU","RB29","10","46","126","76.2","14.7","68.0","-5.0"
"74","7","","Dante Pettis","SF","WR33","4","37","148","77.8","18.4","77.0","+3.0"
"75","7","","Christian Kirk","ARI","WR34","12","39","151","77.9","16.9","78.0","+3.0"
"76","7","","Tevin Coleman","SF","RB30","4","41","130","80.2","16.5","67.0","-9.0"
"77","7","","Will Fuller","HOU","WR35","10","28","175","80.8","19.2","79.0","+2.0"
"78","7","","Marvin Jones","DET","WR36","5","55","203","83.3","18.8","96.0","+18.0"
"79","7","","Cam Newton","CAR","QB7","7","47","150","84.7","16.4","92.0","+13.0"
"80","7","","Sterling Shepard","NYG","WR37","11","55","155","86.1","17.8","93.0","+13.0"
"81","7","","Russell Wilson","SEA","QB8","11","38","138","86.3","20.6","88.0","+7.0"
"82","7","","Carson Wentz","PHI","QB9","10","50","167","87.1","19.9","90.0","+8.0"
"83","7","","Jared Cook","NO","TE7","9","8","142","87.4","16.4","74.0","-9.0"
"84","7","","Larry Fitzgerald","ARI","WR38","12","29","212","87.6","19.9","89.0","+5.0"
"85","7","","Dede Westbrook","JAC","WR39","10","35","181","89.0","24.9","97.0","+12.0"
"86","7","","Curtis Samuel","CAR","WR40","7","45","174","89.9","19.2","107.0","+21.0"
"87","7","","Latavius Murray","NO","RB31","9","27","181","90.5","15.1","100.0","+13.0"
"88","7","","Eric Ebron","IND","TE8","6","63","139","90.6","20.2","75.0","-13.0"
"89","7","","David Njoku","CLE","TE9","7","22","163","92.5","20.8","87.0","-2.0"
"90","7","","Derrius Guice","WAS","RB32","10","27","168","92.6","16.9","71.0","-19.0"
"91","7","","Rashaad Penny","SEA","RB33","11","59","146","93.2","15.5","80.0","-11.0"
"92","7","","Courtland Sutton","DEN","WR41","10","45","141","93.9","16.8","95.0","+3.0"
"93","7","","Drew Brees","NO","QB10","9","38","162","94.9","20.1","84.0","-9.0"
"94","7","","Jared Goff","LAR","QB11","9","54","153","97.0","17.0","101.0","+7.0"
"95","7","","Miles Sanders","PHI","RB34","10","21","289","97.8","38.7","82.0","-13.0"
"96","8","","Vance McDonald","PIT","TE10","7","69","180","100.4","22.3","91.0","-5.0"
"97","8","","Austin Ekeler","LAC","RB35","12","60","170","102.1","20.9","76.0","-21.0"
"98","8","","Jameis Winston","TB","QB12","7","59","154","102.6","17.5","116.0","+18.0"
"99","8","","Kyler Murray","ARI","QB13","12","54","202","103.9","25.8","105.0","+6.0"
"100","8","","Geronimo Allison","GB","WR42","11","52","229","105.3","23.1","118.0","+18.0"
"101","8","","Keke Coutee","HOU","WR43","10","48","226","103.4","23.9","112.0","+11.0"
"102","8","","Royce Freeman","DEN","RB36","10","66","172","107.4","14.8","102.0","0.0"
"103","8","","Austin Hooper","ATL","TE11","9","53","173","107.8","20.2","108.0","+5.0"
"104","8","","Golden Tate","NYG","WR44","11","37","214","108.1","31.2","126.0","+22.0"
"105","8","","Anthony Miller","CHI","WR45","6","67","219","109.6","19.3","135.0","+30.0"
"106","8","","Ben Roethlisberger","PIT","QB14","7","70","154","110.8","17.6","113.0","+7.0"
"107","8","","Jordan Howard","PHI","RB37","10","51","195","113.2","25.2","94.0","-13.0"
"108","8","","Dak Prescott","DAL","QB15","8","70","159","115.7","15.9","127.0","+19.0"
"109","8","","Lamar Jackson","BAL","QB16","8","54","178","118.2","19.8","132.0","+23.0"
"110","8","","Delanie Walker","TEN","TE12","11","69","260","118.5","23.0","134.0","+24.0"
"111","8","","Dion Lewis","TEN","RB38","11","71","217","118.6","22.5","155.0","+44.0"
"112","8","","DeSean Jackson","PHI","WR46","10","73","226","119.5","24.3","122.0","+10.0"
"113","8","","Nyheim Hines","IND","RB39","6","76","272","119.8","20.4","124.0","+11.0"
"114","8","","LeSean McCoy","BUF","RB40","6","71","193","119.9","29.0","103.0","-11.0"
"115","8","","Philip Rivers","LAC","QB17","12","82","174","120.6","17.4","121.0","+6.0"
"116","8","","Trey Burton","CHI","TE13","6","72","185","122.1","16.2","128.0","+12.0"
"117","8","","Marquez Valdes-Scantling","GB","WR47","11","60","223","123.5","33.5","111.0","-6.0"
"118","8","","Darrell Henderson","LAR","RB41","9","40","378","125.0","50.3","85.0","-33.0"
"119","8","","Emmanuel Sanders","DEN","WR48","10","34","226","125.1","31.2","110.0","-9.0"
"120","8","","Ronald Jones II","TB","RB42","7","66","238","127.8","29.3","104.0","-16.0"
"121","8","","Jack Doyle","IND","TE14","6","69","258","128.9","21.8","175.0","+54.0"
"122","8","","Devin Funchess","IND","WR49","6","41","210","129.2","31.6","145.0","+23.0"
"123","9","","Michael Gallup","DAL","WR50","8","64","229","127.2","25.8","160.0","+37.0"
"124","9","","Mitch Trubisky","CHI","QB18","6","68","181","131.0","19.2","148.0","+24.0"
"125","9","","Matt Breida","SF","RB43","4","71","259","132.2","29.9","151.0","+26.0"
"126","9","","Jordan Reed","WAS","TE15","10","69","180","133.0","18.7","144.0","+18.0"
"127","9","","Duke Johnson","HOU","RB44","10","76","227","135.2","32.1","176.0","+49.0"
"128","9","","Tyrell Williams","OAK","WR51","6","49","240","136.6","35.6","141.0","+13.0"
"129","9","","Kirk Cousins","MIN","QB19","12","77","171","129.9","22.0","150.0","+21.0"
"130","9","","Donte Moncrief","PIT","WR52","7","49","222","133.6","36.3","130.0","0.0"
"131","9","","DaeSean Hamilton","DEN","WR53","10","73","242","133.9","30.8","204.0","+73.0"
"132","9","","Jamison Crowder","NYJ","WR54","4","86","223","142.0","29.1","179.0","+47.0"
"133","9","","Josh Allen","BUF","QB20","6","88","253","142.1","24.2","177.0","+44.0"
"134","9","","John Brown","BUF","WR55","6","48","244","138.9","30.5","172.0","+38.0"
"135","9","","Peyton Barber","TB","RB45","7","76","257","139.7","30.8","115.0","-20.0"
"136","9","","Kenny Stills","MIA","WR56","5","64","216","143.2","31.9","197.0","+61.0"
"137","9","","Jerick McKinnon","SF","RB46","4","23","277","140.0","40.5","120.0","-17.0"
