"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","5","1.7","0.9","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","12","2.8","1.1","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","10","3.0","1.3","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","43","5.1","6.3","4.0","0.0"
"5","1","","David Johnson","ARI","RB5","12","1","31","6.5","3.7","6.0","+1.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","1","23","8.6","2.8","5.0","-1.0"
"7","2","","Davante Adams","GB","WR2","11","5","21","10.3","3.5","8.0","+1.0"
"8","2","","James Conner","PIT","RB6","7","2","38","10.7","5.3","9.0","+1.0"
"9","2","","Travis Kelce","KC","TE1","12","7","35","11.6","5.1","19.0","+10.0"
"10","2","","Julio Jones","ATL","WR3","9","6","27","12.4","3.9","12.0","+2.0"
"11","2","","Nick Chubb","CLE","RB7","7","5","43","13.0","7.1","16.0","+5.0"
"12","2","","Joe Mixon","CIN","RB8","9","3","44","13.2","6.0","14.0","+2.0"
"13","2","","Odell Beckham Jr.","CLE","WR4","7","5","26","13.9","4.2","13.0","0.0"
"14","2","","Le'Veon Bell","NYJ","RB9","4","2","44","14.3","7.8","7.0","-7.0"
"15","3","","Michael Thomas","NO","WR5","9","7","31","16.9","4.4","11.0","-4.0"
"16","3","","JuJu Smith-Schuster","PIT","WR6","7","6","30","17.2","4.0","18.0","+2.0"
"17","3","","Dalvin Cook","MIN","RB10","12","5","43","17.5","6.8","20.0","+3.0"
"18","3","","Tyreek Hill","KC","WR7","12","7","121","18.4","15.5","15.0","-3.0"
"19","3","","Todd Gurley","LAR","RB11","9","2","110","18.4","10.4","10.0","-9.0"
"20","3","","Mike Evans","TB","WR8","7","12","37","21.7","4.0","21.0","+1.0"
"21","3","","T.Y. Hilton","IND","WR9","6","14","40","24.5","4.0","30.0","+9.0"
"22","3","","Damien Williams","KC","RB12","12","5","63","26.5","12.2","25.0","+3.0"
"23","4","","Antonio Brown","OAK","WR10","6","16","125","27.4","13.8","22.0","-1.0"
"24","4","","George Kittle","SF","TE2","4","8","106","27.4","12.1","31.0","+7.0"
"25","4","","Keenan Allen","LAC","WR11","12","20","42","28.3","4.6","28.0","+3.0"
"26","4","","Melvin Gordon","LAC","RB13","12","4","132","28.9","16.3","23.0","-3.0"
"27","4","","Marlon Mack","IND","RB14","6","13","54","29.3","8.7","32.0","+5.0"
"28","4","","Amari Cooper","DAL","WR12","8","17","56","30.1","6.7","34.0","+6.0"
"29","4","","Kerryon Johnson","DET","RB15","5","11","51","30.3","9.4","27.0","-2.0"
"30","4","","Adam Thielen","MIN","WR13","12","18","48","31.9","5.6","26.0","-4.0"
"31","4","","Aaron Jones","GB","RB16","11","6","62","32.7","10.5","29.0","-2.0"
"32","4","","Leonard Fournette","JAC","RB17","10","12","58","32.9","8.7","24.0","-8.0"
"33","4","","Devonta Freeman","ATL","RB18","9","9","48","33.8","8.6","35.0","+2.0"
"34","4","","Stefon Diggs","MIN","WR14","12","22","47","34.1","5.1","37.0","+3.0"
