"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Patrick Mahomes","KC","580.3","378.6","4,807.4","36.3","13.4","54.2","226.0","2.0","2.3","341.0"
"Deshaun Watson","HOU","519.0","341.8","4,130.7","26.7","12.4","97.1","522.6","4.3","2.7","320.2"
"Aaron Rodgers","GB","590.1","374.5","4,306.2","29.6","7.6","46.2","260.9","2.1","2.1","310.0"
"Matt Ryan","ATL","583.5","393.9","4,660.4","29.9","10.7","48.2","131.6","1.5","2.1","302.4"
"Cam Newton","CAR","519.7","339.5","3,823.7","24.7","13.9","112.6","510.9","4.4","1.7","297.9"
"Drew Brees","NO","538.0","386.6","4,367.7","30.5","8.9","24.7","39.4","1.9","1.6","291.2"
"Carson Wentz","PHI","567.3","375.8","4,270.6","30.6","12.3","52.6","193.3","1.0","2.6","288.5"
"Jameis Winston","TB","563.5","357.8","4,471.5","27.6","16.7","57.2","276.9","1.6","2.7","287.7"
"Dak Prescott","DAL","522.3","344.5","3,881.8","23.9","10.8","67.3","309.3","5.2","2.3","287.2"
"Baker Mayfield","CLE","561.1","360.6","4,327.5","30.9","14.7","47.1","182.6","0.9","2.4","286.3"
"Jared Goff","LAR","549.8","351.6","4,398.2","30.2","11.9","31.1","103.2","1.2","2.2","286.2"
"Ben Roethlisberger","PIT","620.7","406.4","4,674.4","29.5","15.4","23.3","74.2","1.2","1.8","285.2"
"Lamar Jackson","BAL","437.1","259.7","3,037.2","17.6","10.9","176.0","831.5","6.3","4.9","281.6"
"Russell Wilson","SEA","455.7","294.2","3,589.5","27.8","9.6","72.7","363.0","2.0","2.1","280.1"
"Tom Brady","NE","579.2","378.0","4,390.4","29.4","10.8","20.7","37.5","1.0","1.5","278.6"
"Mitch Trubisky","CHI","513.0","334.3","3,783.4","25.0","13.1","66.0","378.1","2.4","2.4","272.7"
"Kirk Cousins","MIN","572.5","393.1","4,163.1","27.2","12.2","38.8","141.6","1.9","2.4","271.6"
"Philip Rivers","LAC","545.3","359.7","4,396.1","29.8","12.4","13.4","24.3","0.2","1.4","271.1"
"Kyler Murray","ARI","537.7","332.1","3,689.3","21.2","14.7","106.2","501.8","3.2","3.2","266.0"
"Josh Allen","BUF","479.1","270.5","3,221.5","17.2","14.7","102.5","610.7","6.2","2.7","261.1"
"Jimmy Garoppolo","SF","523.4","335.7","4,100.4","25.2","14.4","37.6","103.7","1.3","2.0","250.1"
"Matthew Stafford","DET","555.8","366.5","3,988.2","24.6","11.6","28.4","81.7","0.7","1.7","243.9"
"Derek Carr","OAK","569.3","379.2","4,127.7","24.0","12.3","24.6","69.0","0.7","2.1","243.1"
"Jacoby Brissett","IND","527.0","324.9","3,632.3","22.4","12.8","54.9","239.9","2.3","2.8","241.3"
"Andy Dalton","CIN","536.8","333.3","3,745.1","24.6","13.9","32.9","120.4","0.9","1.7","234.2"
"Sam Darnold","NYJ","531.4","322.1","3,691.0","23.0","15.8","47.9","187.3","1.6","2.2","231.7"
"Marcus Mariota","TEN","444.8","292.7","3,273.8","18.5","12.6","70.0","357.3","2.6","2.4","226.2"
"Nick Foles","JAC","530.5","338.2","3,790.3","21.8","13.5","33.0","75.7","0.9","2.0","221.1"
"Joe Flacco","DEN","509.4","311.5","3,417.0","19.1","12.9","28.5","108.6","1.1","1.3","201.9"
"Eli Manning","NYG","461.8","291.6","3,200.9","17.7","10.2","16.4","31.0","0.9","2.0","182.8"
"Ryan Fitzpatrick","MIA","313.0","196.4","2,639.3","15.7","11.7","30.4","189.9","1.6","1.0","171.5"
"Case Keenum","WAS","257.3","155.7","1,824.3","10.7","7.6","20.4","86.2","0.8","0.7","112.8"
"Dwayne Haskins","WAS","262.0","160.2","1,805.2","9.3","7.6","12.4","47.9","0.4","1.4","98.3"
"Josh Rosen","MIA","207.4","126.7","1,245.0","6.2","5.7","14.1","58.0","0.3","1.5","68.1"
