"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Saquon Barkley","NYG","268.5","1,254.2","9.5","87.3","700.3","3.4","1.6","356.8"
"Christian McCaffrey","CAR","213.0","1,040.6","6.7","96.9","821.3","5.0","1.7","349.8"
"Alvin Kamara","NO","194.3","899.2","9.5","85.9","749.9","4.6","1.4","332.5"
"Ezekiel Elliott","DAL","271.8","1,215.1","8.6","63.0","482.1","2.4","1.9","294.8"
"Le'Veon Bell","NYJ","246.7","1,070.1","7.4","62.5","503.1","2.6","1.7","276.9"
"David Johnson","ARI","247.3","992.9","7.4","60.0","571.3","3.2","2.5","274.8"
"James Conner","PIT","231.5","1,042.4","9.7","54.7","448.0","1.6","1.9","268.3"
"Dalvin Cook","MIN","238.0","1,085.7","6.5","58.5","448.6","2.2","2.7","258.8"
"Joe Mixon","CIN","247.9","1,152.2","8.5","47.1","353.4","1.3","1.5","252.8"
"Todd Gurley","LAR","210.9","981.1","9.5","44.0","403.1","2.5","1.3","251.9"
"Kerryon Johnson","DET","219.6","1,060.1","6.8","53.0","380.6","2.1","2.0","246.2"
"Damien Williams","KC","173.4","807.0","7.4","52.1","415.8","3.9","1.4","239.5"
"Nick Chubb","CLE","249.6","1,186.9","9.2","32.7","250.1","1.5","1.2","238.1"
"Leonard Fournette","JAC","248.4","946.0","7.6","44.2","369.0","1.5","1.3","227.7"
"Devonta Freeman","ATL","206.4","885.0","7.0","45.1","358.4","1.9","1.3","220.4"
"Josh Jacobs","OAK","213.3","941.1","6.5","42.2","350.9","1.5","1.5","216.5"
"Chris Carson","SEA","243.4","1,133.9","8.2","28.1","221.2","0.9","2.1","214.5"
"Aaron Jones","GB","182.2","929.6","8.2","36.8","282.7","1.4","1.3","212.6"
"Melvin Gordon","LAC","167.6","771.7","7.1","40.3","363.5","2.4","1.0","208.5"
"Derrick Henry","TEN","251.4","1,180.2","10.0","16.7","125.3","0.3","1.0","206.7"
"James White","NE","71.5","300.1","2.6","72.3","627.6","4.1","0.5","204.3"
"Kenyan Drake","MIA","138.2","640.9","4.1","52.7","443.1","2.8","1.6","198.9"
"David Montgomery","CHI","200.8","884.4","6.5","34.5","285.5","1.4","1.7","195.9"
"Marlon Mack","IND","235.0","1,060.2","7.3","25.1","178.6","0.9","1.6","195.0"
"Duke Johnson","HOU","161.5","657.6","3.5","48.7","439.1","2.3","1.1","190.9"
"Phillip Lindsay","DEN","174.5","861.6","6.2","34.7","252.9","1.0","0.8","187.8"
"Mark Ingram","BAL","218.4","911.6","6.5","31.2","238.0","0.9","1.5","187.7"
"Sony Michel","NE","233.8","1,065.9","9.3","9.7","72.4","0.3","1.6","177.9"
"Tarik Cohen","CHI","78.1","325.8","1.9","58.5","549.2","3.0","1.6","172.2"
"Austin Ekeler","LAC","120.0","554.7","3.5","40.9","383.6","2.2","1.2","166.8"
"Derrius Guice","WAS","164.6","757.4","5.4","28.4","238.5","0.9","1.7","162.5"
"Tevin Coleman","SF","170.1","757.8","4.7","26.5","235.4","1.5","0.9","160.6"
"Miles Sanders","PHI","158.2","623.6","4.5","33.1","264.3","1.4","1.5","154.4"
"Peyton Barber","TB","183.2","749.4","4.6","22.3","149.2","0.7","1.3","141.0"
"LeSean McCoy","BUF","157.8","621.3","3.6","28.7","224.5","0.7","1.0","137.2"
"Dion Lewis","TEN","106.2","408.3","2.3","43.1","305.5","0.9","0.9","131.8"
"Jalen Richard","OAK","58.1","266.6","1.5","49.1","421.4","1.4","2.3","130.2"
"Matt Breida","SF","122.9","524.3","3.0","26.7","231.7","1.3","1.0","126.2"
"Rashaad Penny","SEA","148.3","676.5","3.9","18.4","140.2","0.7","1.0","126.0"
"Latavius Murray","NO","159.3","613.0","6.0","16.5","105.3","0.2","0.8","124.0"
"Jordan Howard","PHI","154.0","657.0","5.1","15.8","108.1","0.2","1.1","122.4"
"Darrell Henderson","LAR","120.6","535.6","3.6","23.9","203.4","0.9","1.3","122.2"
"Chris Thompson","WAS","55.3","230.7","0.9","46.3","356.6","1.6","0.6","118.9"
"Kalen Ballage","MIA","138.0","589.7","3.5","22.7","169.7","0.4","2.6","116.3"
"Jaylen Samuels","PIT","74.9","322.3","2.1","33.2","270.2","2.1","0.6","116.2"
"C.J. Anderson","DET","124.9","575.2","4.0","18.6","141.0","0.5","1.0","115.2"
"Royce Freeman","DEN","165.1","625.2","4.4","15.7","106.7","0.3","1.2","114.5"
"Nyheim Hines","IND","76.2","301.9","1.5","37.4","276.9","1.2","0.6","110.2"
"Jamaal Williams","GB","106.8","422.9","2.8","23.6","185.2","0.6","0.8","102.9"
"Giovani Bernard","CIN","75.5","289.5","1.9","33.6","257.1","0.6","0.4","102.8"
"Ito Smith","ATL","92.9","386.0","3.1","25.5","172.6","0.7","0.6","102.5"
"Ronald Jones II","TB","127.6","462.5","3.7","18.8","132.6","0.4","0.7","101.8"
"Adrian Peterson","WAS","130.4","492.2","3.3","13.9","109.1","0.4","1.1","93.9"
"Darwin Thompson","KC","87.9","334.1","2.7","20.3","176.9","1.0","0.9","91.6"
"Kareem Hunt","CLE","79.6","341.5","2.8","17.8","162.2","1.0","0.5","89.7"
"Jerick McKinnon","SF","66.4","294.8","2.0","22.9","191.5","0.7","0.6","86.2"
"Devin Singletary","BUF","91.1","349.3","2.1","18.0","149.2","0.5","0.9","81.5"
"Damien Harris","NE","97.3","362.5","3.1","13.8","114.4","0.6","0.9","81.5"
"Justin Jackson","LAC","92.8","361.6","2.5","14.5","119.2","0.3","0.5","78.4"
"Justice Hill","BAL","77.0","309.0","2.3","17.2","132.6","0.7","0.9","77.4"
"Alexander Mattison","MIN","87.9","333.8","2.3","15.3","113.7","0.6","0.9","75.3"
"Tony Pollard","DAL","81.8","302.5","2.2","16.1","125.5","0.4","0.8","73.2"
"Mike Davis","CHI","65.7","280.6","2.2","16.8","119.7","0.3","0.5","71.1"
"Frank Gore","BUF","92.7","373.6","1.7","11.9","99.3","0.4","0.6","71.0"
"Alfred Blue","JAC","82.4","307.2","1.6","16.0","125.3","0.3","0.4","70.0"
"Damarea Crockett","HOU","88.8","328.3","2.2","12.1","95.4","0.3","0.4","68.8"
"Ty Montgomery","NYJ","61.1","210.7","1.5","18.6","150.6","0.6","0.8","66.1"
"Gus Edwards","BAL","93.3","441.2","2.8","2.5","19.8","0.1","0.4","64.6"
"Theo Riddick","DEN","22.3","119.6","0.6","25.1","182.4","0.6","0.1","62.1"
"Chase Edmonds","ARI","52.9","231.8","1.6","13.8","106.5","0.2","0.6","57.3"
"Bilal Powell","NYJ","58.1","276.7","1.3","10.8","91.2","0.5","0.5","57.0"
"Rex Burkhead","NE","41.9","159.0","1.6","15.1","125.3","0.7","0.7","56.0"
"Corey Clement","PHI","39.0","175.5","1.5","14.6","115.2","0.4","0.4","54.0"
"Dontrell Hilliard","CLE","37.9","136.7","0.9","17.1","152.7","0.5","0.5","53.1"
"Kyle Juszczyk","SF","7.2","23.1","0.3","23.0","209.8","0.9","0.8","51.7"
"Josh Ferguson","HOU","64.0","287.5","1.7","6.7","56.1","0.2","0.6","51.0"
"T.J. Yeldon","BUF","41.4","152.7","0.8","15.2","128.7","0.5","0.2","50.4"
"Dare Ogunbowale","TB","38.2","130.8","0.8","16.2","124.6","0.4","0.2","48.6"
"Wayne Gallman","NYG","53.3","208.6","1.3","11.4","81.0","0.2","0.9","47.0"
"Elijah McGuire","NYJ","31.4","107.1","0.8","14.2","137.7","0.8","1.0","46.3"
"Jacquizz Rodgers","NO","23.2","92.6","0.6","16.0","133.6","0.7","0.0","46.0"
"Ty Johnson","DET","39.5","155.8","0.8","12.7","98.0","0.5","0.6","44.7"
"J.D. McKissic","SEA","27.9","108.3","0.6","13.7","109.1","1.0","0.4","44.7"
"Ryquell Armstead","JAC","45.1","180.9","1.2","9.9","78.4","0.3","0.3","44.3"
"Malcolm Brown","LAR","48.7","199.1","1.5","7.5","50.8","0.2","0.3","41.6"
"Reggie Bonnafon","CAR","0.0","138.8","1.0","11.0","85.2","0.4","0.2","41.3"
"Darren Sproles","PHI","25.7","92.0","0.5","13.6","116.1","0.5","0.4","39.4"
"Brian Hill","ATL","37.5","187.6","1.3","7.1","52.6","0.2","0.5","39.1"
"Cameron Artis-Payne","CAR","45.3","203.8","1.5","5.3","41.1","0.1","0.4","38.8"
"C.J. Prosise","SEA","16.7","58.7","0.0","16.1","115.2","0.8","0.0","38.3"
"Carlos Hyde","KC","64.0","163.4","1.4","7.8","46.8","0.2","0.2","38.1"
"Devontae Booker","DEN","32.8","131.1","0.8","11.5","91.7","0.2","1.0","37.7"
"Buddy Howell","HOU","73.4","237.1","1.4","2.9","29.4","0.1","0.5","37.2"
"Andre Ellington","TB","20.8","78.5","0.9","12.6","115.7","0.1","0.6","37.1"
"Dexter Williams","GB","39.1","156.2","1.1","7.5","55.5","0.2","0.3","36.2"
"DeAndre Washington","OAK","59.6","186.1","1.1","7.6","59.8","0.1","1.6","35.8"
"Thomas Rawls","JAC","18.6","74.3","0.3","12.8","100.4","0.4","0.1","34.2"
"Darrel Williams","KC","36.1","118.7","1.0","6.2","60.2","0.7","0.4","33.7"
"Brandon Bolden","NE","15.4","110.2","3.2","1.9","15.3","0.1","1.0","32.2"
"Benny Snell Jr.","PIT","36.0","141.7","0.9","6.4","52.3","0.2","0.6","30.9"
"Jordan Wilkins","IND","42.2","189.0","1.1","4.3","27.5","0.1","1.5","30.1"
"Kenneth Dixon","BAL","26.2","120.1","0.9","6.1","45.5","0.3","0.0","29.4"
"Alfred Morris","DAL","28.0","146.4","0.9","5.1","38.2","0.1","0.4","28.8"
"Jordan Scarlett","CAR","27.6","110.0","0.8","6.9","48.5","0.1","0.1","27.8"
