"Player","Team","REC","YDS","TDS","FL","FPTS"
"Travis Kelce","KC","98.7","1,252.1","9.4","0.6","279.3"
"George Kittle","SF","84.5","1,156.6","6.4","0.4","237.9"
"Zach Ertz","PHI","91.3","968.0","7.1","0.5","230.0"
"Evan Engram","NYG","67.7","807.4","5.3","0.5","179.1"
"O.J. Howard","TB","56.7","812.8","6.4","0.5","175.4"
"Jared Cook","NO","60.9","764.5","5.9","0.4","172.1"
"Hunter Henry","LAC","55.3","705.6","6.1","0.5","161.7"
"Vance McDonald","PIT","58.5","670.5","4.9","0.5","153.7"
"Jordan Reed","WAS","63.4","641.3","3.8","0.5","149.4"
"David Njoku","CLE","54.1","638.8","4.9","0.4","146.4"
"Austin Hooper","ATL","61.4","597.8","4.3","0.4","146.1"
"Eric Ebron","IND","51.5","582.5","6.1","0.4","145.4"
"Delanie Walker","TEN","56.1","620.2","4.1","0.5","141.6"
"Jimmy Graham","GB","51.7","556.9","4.1","0.4","131.1"
"Mark Andrews","BAL","46.0","606.3","4.1","0.1","131.0"
"Kyle Rudolph","MIN","52.6","513.5","4.3","0.4","129.1"
"Jack Doyle","IND","54.0","506.4","4.1","0.8","127.6"
"Trey Burton","CHI","48.4","527.2","4.3","0.5","126.0"
"Greg Olsen","CAR","45.1","527.9","4.4","0.1","124.1"
"T.J. Hockenson","DET","48.2","506.7","3.7","1.1","118.6"
"Noah Fant","DEN","45.9","515.0","3.6","0.6","117.6"
"Tyler Eifert","CIN","42.9","476.9","3.6","0.1","112.0"
"Jason Witten","DAL","45.6","446.7","3.4","0.4","109.8"
"Chris Herndon IV","NYJ","33.9","416.8","3.5","0.1","96.3"
"Darren Waller","OAK","37.5","409.4","3.0","0.4","95.5"
"Dallas Goedert","PHI","34.4","357.2","4.0","0.1","93.9"
"Mike Gesicki","MIA","35.0","353.3","2.2","0.8","81.9"
"Geoff Swaim","JAC","32.9","327.8","2.0","0.1","77.7"
"Will Dissly","SEA","25.1","330.4","3.1","0.1","76.5"
"Cameron Brate","TB","27.5","293.2","3.1","0.4","74.8"
"Vernon Davis","WAS","27.3","344.8","2.1","0.1","74.3"
"Gerald Everett","LAR","27.7","301.0","2.6","0.1","73.3"
"Benjamin Watson","NE","27.5","317.0","2.2","0.1","72.0"
"Jace Sternberger","GB","26.9","285.6","2.2","0.6","67.6"
"Ian Thomas","CAR","26.3","267.4","2.0","0.0","65.2"
"Josh Oliver","JAC","25.9","280.3","1.5","0.6","61.8"
"Jordan Thomas","HOU","23.0","252.3","2.2","0.1","61.2"
"Matt LaCosse","NE","24.4","268.4","1.5","0.1","60.4"
"Ricky Seals-Jones","ARI","23.0","257.1","1.8","0.0","59.8"
"Charles Clay","ARI","24.7","237.3","1.5","0.4","56.7"
"Hayden Hurst","BAL","20.5","245.9","1.9","0.1","56.2"
"C.J. Uzomah","CIN","23.3","239.9","1.5","0.0","56.2"
"Blake Jarwin","DAL","21.8","233.6","1.8","0.0","56.1"
"Tyler Higbee","LAR","21.2","240.0","1.7","0.0","55.3"
"Jesse James","DET","21.9","228.1","1.6","0.0","54.2"
"Irv Smith Jr.","MIN","21.2","218.2","1.7","0.6","52.0"
"Jeff Heuerman","DEN","21.0","204.0","1.6","0.0","50.8"
"Nick Vannett","SEA","21.0","202.1","1.6","0.0","50.6"
"Adam Shaheen","CHI","19.5","198.0","1.7","0.0","49.3"
"Tyler Kroft","BUF","19.2","200.5","1.4","0.1","47.3"
"Mo Alie-Cox","IND","14.9","194.0","1.8","0.1","44.8"
"Rhett Ellison","NYG","18.1","191.5","1.2","0.0","44.7"
"Dawson Knox","BUF","17.3","200.1","1.1","0.1","43.9"
"James O'Shaughnessy","JAC","18.1","181.7","1.1","0.0","42.6"
"Kahale Warring","HOU","17.3","184.9","1.3","0.5","42.2"
"Jason Croom","BUF","16.7","196.8","1.1","0.7","41.9"
"Jonnu Smith","TEN","16.5","177.8","1.2","0.0","41.2"
