"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Julio Jones","ATL","106.1","1,553.7","8.3","1.6","10.8","0.0","0.9","310.3"
"DeAndre Hopkins","HOU","104.7","1,465.0","10.1","0.5","-0.6","0.0","0.9","310.1"
"Davante Adams","GB","104.9","1,331.1","10.7","0.0","0.0","0.0","0.5","301.3"
"Michael Thomas","NO","113.2","1,339.1","8.4","0.0","0.0","0.0","0.6","296.1"
"JuJu Smith-Schuster","PIT","104.0","1,384.1","8.7","0.5","4.5","0.0","0.5","294.3"
"Tyreek Hill","KC","82.4","1,316.6","8.9","14.4","103.7","1.0","0.5","282.5"
"Mike Evans","TB","87.1","1,389.1","7.7","0.0","0.0","0.0","0.5","271.0"
"Antonio Brown","OAK","95.2","1,221.1","8.9","0.0","0.0","0.0","0.5","269.8"
"Odell Beckham Jr.","CLE","89.0","1,249.2","9.0","4.1","16.9","0.0","0.5","269.0"
"Keenan Allen","LAC","98.2","1,273.8","6.7","3.7","27.6","0.0","0.6","267.4"
"Julian Edelman","NE","92.8","1,111.5","6.5","8.3","76.2","0.2","0.5","251.0"
"Adam Thielen","MIN","90.3","1,170.8","6.7","3.6","20.9","0.0","0.5","248.8"
"T.Y. Hilton","IND","79.9","1,266.2","6.5","0.0","0.0","0.0","0.5","244.5"
"Stefon Diggs","MIN","90.4","1,018.4","7.5","7.1","35.2","0.0","0.5","239.9"
"Amari Cooper","DAL","81.1","1,101.5","7.7","1.2","9.2","0.0","1.0","236.2"
"Brandin Cooks","LAR","74.9","1,135.9","6.1","7.6","46.4","0.4","0.5","231.3"
"Robert Woods","LAR","78.4","1,063.9","5.7","11.9","84.8","0.8","0.5","230.8"
"Kenny Golladay","DET","74.0","1,090.4","6.1","0.9","6.8","0.0","0.5","219.4"
"Tyler Lockett","SEA","64.9","1,019.4","7.0","8.7","54.3","0.1","0.5","213.7"
"Cooper Kupp","LAR","70.8","944.6","7.4","3.6","22.9","0.0","0.5","211.3"
"Tyler Boyd","CIN","76.2","989.6","5.8","1.0","3.4","0.0","0.4","209.3"
"Chris Godwin","TB","73.2","991.9","6.3","0.0","0.0","0.0","0.6","208.8"
"A.J. Green","CIN","64.7","940.1","6.3","0.0","0.0","0.0","0.9","194.8"
"Jarvis Landry","CLE","73.0","863.3","5.1","3.5","30.8","0.3","0.5","193.9"
"Alshon Jeffery","PHI","66.2","896.3","6.5","0.0","0.0","0.0","0.5","193.8"
"D.J. Moore","CAR","65.3","902.4","4.4","13.0","127.8","0.1","1.3","192.6"
"Allen Robinson","CHI","66.1","919.3","5.7","0.6","3.9","0.1","0.5","191.9"
"Mike Williams","LAC","56.9","836.5","7.5","3.7","19.4","0.3","0.1","188.9"
"Calvin Ridley","ATL","64.2","807.9","6.8","5.5","28.7","0.0","0.5","187.9"
"Sammy Watkins","KC","62.9","886.0","5.9","2.6","19.2","0.0","0.5","187.8"
"Robby Anderson","NYJ","58.5","867.7","6.7","3.1","11.4","0.0","0.5","185.8"
"Christian Kirk","ARI","65.4","864.1","4.8","2.2","18.2","0.0","0.5","181.5"
"Josh Gordon","NE","54.0","909.6","5.9","0.0","0.0","0.0","0.6","179.4"
"Dede Westbrook","JAC","67.9","779.8","5.0","4.7","40.1","0.0","1.0","178.2"
"Sterling Shepard","NYG","64.7","848.0","4.6","2.6","16.0","0.0","0.4","178.0"
"Larry Fitzgerald","ARI","69.0","754.5","5.5","0.0","0.0","0.0","0.5","176.4"
"Marvin Jones","DET","56.0","830.4","6.1","0.0","0.0","0.0","0.5","174.6"
"Dante Pettis","SF","56.2","797.9","5.8","0.9","0.1","0.0","0.4","170.1"
"Corey Davis","TEN","60.9","799.3","4.3","4.0","32.4","0.0","0.5","169.0"
"Will Fuller","HOU","54.6","790.7","5.7","0.5","2.4","0.0","0.4","167.3"
"Emmanuel Sanders","DEN","63.5","769.1","4.0","1.5","14.4","0.3","0.5","166.3"
"Curtis Samuel","CAR","54.0","670.2","4.7","10.8","97.6","1.1","0.4","165.1"
"Mohamed Sanu","ATL","60.0","731.6","3.7","3.7","24.4","0.1","0.5","157.4"
"Courtland Sutton","DEN","48.7","732.3","4.7","0.5","0.2","0.0","0.1","149.6"
"Kenny Stills","MIA","47.9","726.7","4.9","0.0","0.0","0.0","0.5","148.9"
"Jamison Crowder","NYJ","55.4","662.6","3.9","2.9","18.4","0.0","0.5","145.8"
"DeSean Jackson","PHI","43.6","712.5","4.1","4.1","28.1","0.4","0.4","143.7"
"DaeSean Hamilton","DEN","57.0","626.8","4.1","0.0","0.0","0.0","0.4","143.2"
"Geronimo Allison","GB","50.8","685.8","4.1","0.0","0.0","0.0","0.5","143.1"
