"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Patrick Mahomes","KC","581.5","379.9","4,779.6","36.0","13.3","52.4","219.6","2.0","2.0","338.2"
"Deshaun Watson","HOU","511.7","338.0","4,073.5","26.4","12.0","95.2","552.2","4.4","2.7","320.7"
"Aaron Rodgers","GB","590.0","375.0","4,284.4","29.5","7.6","46.2","260.5","2.1","2.1","308.6"
"Matt Ryan","ATL","584.8","394.6","4,632.4","30.0","10.6","48.2","132.8","1.5","2.0","302.1"
"Cam Newton","CAR","520.4","339.8","3,808.7","24.4","13.8","112.9","545.0","4.4","1.7","300.1"
"Andrew Luck","IND","577.0","379.3","4,329.3","31.9","13.7","49.7","210.6","1.2","2.4","296.5"
"Drew Brees","NO","539.0","387.6","4,342.6","30.4","8.8","24.7","40.1","1.9","1.6","290.2"
"Jameis Winston","TB","564.7","358.8","4,454.9","27.7","16.6","57.2","277.0","1.6","2.7","288.0"
"Lamar Jackson","BAL","436.2","258.9","3,016.9","17.2","10.8","177.5","911.0","6.4","5.2","286.7"
"Jared Goff","LAR","550.3","351.5","4,372.2","30.5","11.7","31.1","102.9","1.2","2.2","286.6"
"Carson Wentz","PHI","569.0","376.6","4,244.9","30.1","12.2","52.4","192.0","1.0","2.6","285.6"
"Dak Prescott","DAL","522.6","344.9","3,862.1","23.7","11.0","68.0","311.4","5.3","2.3","285.5"
"Baker Mayfield","CLE","562.0","360.9","4,311.1","30.9","14.5","47.1","181.3","0.9","2.4","285.4"
"Ben Roethlisberger","PIT","620.3","407.1","4,645.6","29.2","15.3","23.3","75.3","1.2","1.8","283.5"
"Russell Wilson","SEA","454.7","292.8","3,571.0","27.8","9.5","73.0","381.3","2.0","2.1","281.2"
"Tom Brady","NE","581.0","379.8","4,370.4","29.0","10.8","20.7","38.6","1.0","1.5","276.3"
"Mitch Trubisky","CHI","513.8","334.6","3,776.6","25.1","13.1","66.2","377.6","2.4","2.5","272.6"
"Kirk Cousins","MIN","573.3","394.6","4,152.0","27.4","11.9","38.8","134.3","1.9","2.4","271.6"
"Philip Rivers","LAC","546.8","360.7","4,371.8","29.7","12.3","13.7","25.4","0.2","1.4","270.2"
"Kyler Murray","ARI","544.5","336.1","3,721.3","21.4","14.5","107.0","505.3","3.1","3.2","268.4"
"Josh Allen","BUF","478.7","270.4","3,205.2","17.4","14.4","102.5","653.2","6.2","2.9","266.0"
"Jimmy Garoppolo","SF","520.4","334.8","4,079.8","25.2","14.2","37.7","122.3","1.3","2.1","251.1"
"Derek Carr","OAK","570.2","379.6","4,104.7","23.7","12.3","24.5","68.6","0.6","2.1","241.0"
"Matthew Stafford","DET","557.9","367.5","3,940.1","24.0","11.4","28.9","79.0","0.7","1.6","239.5"
"Andy Dalton","CIN","536.6","333.1","3,704.5","24.2","13.7","32.9","120.2","0.9","1.7","231.2"
"Sam Darnold","NYJ","530.7","320.5","3,655.9","22.7","15.8","48.0","187.9","1.6","2.3","229.0"
"Marcus Mariota","TEN","445.9","293.4","3,263.8","18.3","12.6","70.2","358.2","2.6","2.4","225.3"
"Nick Foles","JAC","532.2","338.8","3,782.2","21.6","13.4","33.1","76.3","0.9","2.0","220.2"
"Eli Manning","NYG","485.7","306.7","3,321.4","18.7","10.6","20.1","49.8","1.0","2.2","193.0"
"Joe Flacco","DEN","470.0","289.1","3,212.1","17.8","11.8","24.1","92.0","0.9","1.3","188.2"
"Ryan Fitzpatrick","MIA","302.4","189.3","2,544.0","15.2","11.2","29.3","185.2","1.4","1.0","164.8"
"Dwayne Haskins","WAS","348.0","213.3","2,384.3","12.5","10.3","15.7","56.2","0.5","1.4","130.2"
"Case Keenum","WAS","151.4","91.7","1,240.2","6.8","5.4","11.7","55.1","0.5","0.6","73.5"
"Josh Rosen","MIA","217.9","133.0","1,299.3","6.5","6.1","14.7","61.0","0.3","1.5","71.0"
"Daniel Jones","NYG","101.8","63.2","813.6","4.4","3.5","6.3","35.7","0.3","0.7","46.9"
"Drew Lock","DEN","111.3","68.6","772.3","4.1","3.2","8.8","37.4","0.3","0.4","45.4"
"C.J. Beathard","SF","69.5","41.0","478.0","2.5","2.0","4.0","13.0","0.0","0.0","26.4"
"Taysom Hill","NO","9.5","5.9","120.0","0.5","0.5","35.1","142.6","1.1","0.5","25.7"
"Colt McCoy","WAS","55.6","34.7","396.0","2.0","1.7","4.4","14.9","0.1","0.7","21.1"
"Jacoby Brissett","IND","43.8","27.0","306.7","2.2","1.0","4.2","16.2","0.1","0.3","20.5"
"Jeff Driskel","CIN","34.0","19.9","262.6","1.4","1.0","4.1","16.7","0.1","0.2","16.1"
"Ryan Tannehill","TEN","35.2","21.8","279.5","1.5","1.5","4.0","14.6","0.1","0.1","15.8"
"Blaine Gabbert","TB","33.4","20.2","234.6","1.5","1.0","2.0","9.3","0.1","0.1","14.4"
"Nate Sudfeld","PHI","30.6","18.2","212.8","1.7","1.0","2.4","10.1","0.0","0.1","14.0"
"Gardner Minshew","JAC","37.6","22.0","268.3","1.3","1.6","2.0","6.3","0.1","0.1","13.7"
"Will Grier","CAR","33.4","21.4","252.6","1.2","1.0","1.8","3.8","0.1","0.1","13.6"
"Nick Mullens","SF","31.4","19.8","231.2","1.2","1.0","2.2","2.2","0.0","0.1","12.1"
"Chase Daniel","CHI","27.0","16.7","194.9","1.2","0.8","2.7","7.2","0.0","0.1","11.8"
"John Lovett","KC","0.0","0.0","266.1","0.8","1.6","0.0","0.6","0.2","0.1","11.8"
"Blake Bortles","LAR","20.3","12.3","178.1","0.9","0.6","3.4","14.0","0.1","0.1","11.5"
"Robert Griffin","BAL","24.5","15.1","186.6","1.0","0.8","3.3","11.9","0.1","0.2","11.5"
"Taylor Heinicke","CAR","28.0","18.3","187.6","0.8","0.9","2.4","10.5","0.1","0.0","10.4"
"Brett Hundley","ARI","26.9","16.0","178.1","0.9","0.7","2.0","9.3","0.1","0.1","10.2"
"Paxton Lynch","SEA","19.4","12.2","158.3","0.9","0.6","2.9","10.0","0.1","0.1","10.0"
"Teddy Bridgewater","NO","21.6","13.3","160.3","1.0","0.5","2.8","5.3","0.0","0.0","9.8"
"Trevor Siemian","NYJ","26.0","15.6","182.3","0.9","1.0","2.1","6.9","0.1","0.0","9.7"
"Matt Barkley","BUF","24.7","15.1","185.4","0.9","1.0","2.5","3.8","0.0","0.1","9.5"
"Tyrod Taylor","LAC","17.6","10.8","128.4","0.7","0.6","2.6","10.2","0.1","0.0","8.3"
"Ryan Finley","CIN","19.5","11.8","128.2","0.9","0.4","0.8","2.6","0.0","0.1","8.2"
"Joshua Dobbs","PIT","21.3","13.1","130.2","0.8","0.7","2.3","9.7","0.0","0.0","8.2"
"Cooper Rush","DAL","20.0","12.3","131.0","0.6","0.3","1.6","7.7","0.0","0.0","8.0"
"Brian Hoyer","NE","18.1","11.0","138.0","0.6","0.7","2.6","4.3","0.1","0.1","7.5"
"Chad Henne","KC","16.6","10.5","126.4","0.6","0.2","1.9","2.9","0.0","0.0","7.3"
"Drew Stanton","CLE","18.0","10.7","140.7","0.6","0.8","1.8","6.5","0.0","0.0","7.2"
"DeShone Kizer","GB","18.4","10.9","118.0","0.5","0.5","1.9","10.0","0.1","0.0","6.9"
"Mike Glennon","OAK","19.2","12.3","142.0","0.7","0.5","1.6","1.6","0.0","0.5","6.5"
"AJ McCarron","HOU","15.2","9.6","110.2","0.7","0.4","1.7","2.8","0.0","0.1","6.3"
"Matt Schaub","ATL","16.0","10.1","101.5","0.5","0.3","1.2","3.1","0.0","0.1","5.8"
"Sean Mannion","MIN","13.6","8.3","92.5","0.3","0.1","2.3","4.6","0.1","0.1","5.2"
"Josh Johnson","DET","7.4","4.2","43.4","0.2","0.3","1.2","17.3","0.2","0.3","4.2"
"Tom Savage","DET","11.6","7.2","76.9","0.5","0.4","1.4","1.8","0.0","0.6","3.3"
"Cody Kessler","PHI","2.4","1.5","16.3","0.1","0.0","0.2","0.9","0.0","0.1","1.1"
"Jake Rudock","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Bray","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cardale Jones","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin Hogan","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chad Kelly","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Lauletta","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Geno Smith","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Peterman","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Garrett Gilbert","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Fitzgerald","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jarrett Stidham","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trace McSorley","BAL","0.0","0.0","0.0","0.0","0.0","5.4","27.2","0.2","0.0","0.0"
"David Fales","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davis Webb","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clayton Thorson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Falk","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex McGough","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Logan Woodside","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim Boyle","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Callahan","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Lee","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Danny Etling","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Sloter","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Allen","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
